iter	RMSE
0	0.7802100998
1	0.7683385258
2	0.757187809
3	0.7470174017
4	0.7385149996
5	0.7311110516
6	0.7242326009
7	0.7179897656
8	0.7128379766
9	0.7078070035
10	0.7034966192
11	0.6991748463
12	0.6954331663
13	0.6918509012
14	0.6890024173
15	0.6862186234
16	0.6838977446
17	0.6816299511
18	0.6792818397
19	0.6774516682
20	0.6757324225
21	0.6741948949
22	0.6730008229
23	0.67180173
24	0.6706382969
25	0.669549241
26	0.6685361757
27	0.667609833
28	0.66683252
29	0.6662653667
30	0.6650500268
31	0.6642390324
32	0.6633434985
33	0.6623572449
34	0.6615805284
35	0.6604719953
36	0.659789297
37	0.6590964104
38	0.6586746588
39	0.6580310673
40	0.6575098116
41	0.656966232
42	0.6563213364
43	0.6556387133
44	0.6550270509
45	0.6544525992
46	0.6539788451
47	0.6535624502
48	0.6525641105
49	0.6521595371
50	0.6517892469
51	0.6510703006
52	0.6504746426
53	0.6501697726
54	0.6496001558
55	0.6493579192
56	0.6485179974
57	0.6481207588
58	0.6474346841
59	0.646744102
60	0.6462920371
61	0.6456821321
62	0.6452338458
63	0.6449401837
64	0.6447393134
65	0.6443805389
66	0.644039034
67	0.6434099038
68	0.6428062128
69	0.6427587761
70	0.6424108575
71	0.6416675453
72	0.6414390903
73	0.6411162902
74	0.6408253101
75	0.6405084285
76	0.6396090865
77	0.6393016561
78	0.638951189
79	0.6385403807
80	0.6382611776
81	0.6377138855
82	0.6373630794
83	0.6370973919
84	0.636356794
85	0.6359924512
86	0.6359723098
87	0.635716622
88	0.6352638161
89	0.6348258388
90	0.634026194
91	0.6329955359
92	0.6327228651
93	0.6322852605
94	0.6321260119
95	0.6318324749
96	0.631542383
97	0.631125258
98	0.6307331611
99	0.6304966748
100	0.6301146966
101	0.6299905362
102	0.6295286502
103	0.6292969928
104	0.6288252417
105	0.6283305791
106	0.6280208235
107	0.6275986403
108	0.6271360839
109	0.6266144895
110	0.6262409897
111	0.6261930313
112	0.6258283228
113	0.6253198966
114	0.6250059275
115	0.6244479288
116	0.6240108161
117	0.6237180135
118	0.6232189413
119	0.6227595708
120	0.6223847313
121	0.6219955061
122	0.6215564497
123	0.6210210465
124	0.6206498179
125	0.6204832402
126	0.6200222979
127	0.6195903299
128	0.6192712657
129	0.6191224904
130	0.6183393323
131	0.6182375833
132	0.6173485862
133	0.6167971155
134	0.6161521832
135	0.6158911781
136	0.6157175093
137	0.6149718137
138	0.6145009565
139	0.6142982593
140	0.613966931
141	0.6135805285
142	0.6134882946
143	0.6132820763
144	0.6125779737
145	0.6120280734
146	0.6117606726
147	0.6112530452
148	0.610891219
149	0.6103469219
150	0.6099145879
151	0.6096310075
152	0.6089528966
153	0.6087932527
154	0.6085947388
155	0.6078564193
156	0.6073453966
157	0.6069926493
158	0.6065325909
159	0.6061991077
160	0.6058681235
161	0.6054604745
162	0.60478597
163	0.6044542019
164	0.6040200667
165	0.6036656153
166	0.6032350821
167	0.6026003119
168	0.6019798049
169	0.6014213087
170	0.6010768659
171	0.6007759442
172	0.6000981824
173	0.599516915
174	0.5991508164
