iter	Passed	Remaining
0	2	2130
1	3	1853
2	5	1778
3	6	1719
4	8	1741
5	10	1757
6	12	1720
7	13	1716
8	15	1692
9	17	1691
10	18	1687
11	20	1670
12	21	1657
13	23	1656
14	25	1666
15	26	1660
16	28	1655
17	30	1650
18	31	1646
19	33	1638
20	35	1635
21	36	1629
22	38	1621
23	40	1628
24	41	1628
25	43	1623
26	44	1619
27	46	1617
28	48	1624
29	50	1631
30	52	1640
31	54	1651
32	56	1663
33	58	1672
34	60	1678
35	62	1678
36	64	1685
37	66	1688
38	68	1697
39	70	1701
40	72	1702
41	74	1698
42	76	1695
43	77	1687
44	79	1681
45	80	1679
46	82	1674
47	84	1671
48	85	1666
49	87	1666
50	89	1663
51	91	1663
52	92	1660
53	94	1655
54	96	1651
55	97	1650
56	99	1645
57	101	1641
58	102	1641
59	104	1637
60	106	1633
61	107	1627
62	109	1621
63	110	1617
64	112	1613
65	113	1610
66	115	1606
67	116	1602
68	118	1599
69	120	1597
70	121	1593
71	123	1588
72	124	1584
73	126	1581
74	128	1578
75	129	1575
76	131	1573
77	132	1570
78	134	1567
79	136	1564
80	137	1560
81	139	1556
82	140	1555
83	142	1551
84	143	1547
85	145	1545
86	146	1541
87	148	1539
88	150	1536
89	151	1533
90	153	1531
91	154	1527
92	156	1522
93	157	1518
94	159	1517
95	160	1514
96	162	1510
97	163	1506
98	165	1502
99	166	1501
100	168	1498
101	169	1494
102	171	1490
103	172	1486
104	174	1483
105	175	1480
106	176	1476
107	178	1473
108	179	1470
109	181	1469
110	183	1468
111	184	1465
112	186	1462
113	187	1458
114	189	1455
115	190	1452
116	192	1450
117	193	1448
118	195	1445
119	196	1443
120	198	1443
121	200	1442
122	202	1441
123	203	1441
124	205	1440
125	207	1437
126	208	1435
127	210	1432
128	211	1429
129	213	1427
130	215	1426
131	216	1426
132	218	1423
133	219	1420
134	221	1417
135	222	1415
136	224	1412
137	225	1409
138	227	1406
139	228	1402
140	229	1401
141	231	1399
142	233	1397
143	234	1396
144	236	1393
145	237	1391
146	239	1388
147	240	1386
148	242	1384
149	243	1381
150	245	1379
151	247	1378
152	248	1375
153	249	1373
154	251	1371
155	253	1368
156	254	1366
157	256	1364
158	257	1362
159	258	1359
160	260	1356
161	261	1355
162	263	1353
163	265	1351
164	266	1348
165	267	1345
166	269	1342
167	270	1341
168	272	1339
169	273	1337
170	275	1334
171	276	1332
172	278	1330
173	279	1327
174	281	1325
175	282	1322
176	283	1320
177	285	1317
178	286	1315
179	288	1313
180	289	1310
181	291	1308
182	292	1305
183	293	1303
184	295	1302
185	297	1300
186	298	1298
187	300	1297
188	301	1295
189	303	1293
190	304	1291
191	306	1289
192	308	1288
193	309	1285
194	310	1283
195	312	1281
196	313	1279
197	315	1277
198	316	1275
199	318	1273
200	319	1271
201	321	1269
202	322	1267
203	324	1264
204	325	1263
205	327	1262
206	329	1260
207	330	1258
208	331	1256
209	333	1253
210	334	1251
211	336	1249
212	337	1248
213	339	1246
214	340	1244
215	342	1243
216	343	1240
217	345	1239
218	347	1238
219	348	1236
220	350	1233
221	351	1232
222	353	1230
223	354	1228
224	356	1227
225	357	1225
226	359	1224
227	361	1222
228	362	1221
229	364	1219
230	365	1217
231	367	1216
232	369	1214
233	370	1212
234	371	1210
235	373	1209
236	375	1208
237	376	1206
238	378	1205
239	380	1203
240	381	1201
241	383	1200
242	384	1198
243	386	1196
244	387	1194
245	389	1193
246	390	1191
247	392	1190
248	394	1188
249	395	1186
250	397	1185
251	398	1183
252	400	1182
253	402	1180
254	403	1178
255	405	1177
256	406	1175
257	408	1173
258	409	1171
259	411	1170
260	412	1168
261	414	1167
262	415	1165
263	417	1163
264	418	1161
265	420	1159
266	422	1158
267	423	1156
268	424	1154
269	426	1152
270	427	1151
271	429	1149
272	430	1147
273	432	1146
274	434	1144
275	435	1142
276	437	1141
277	438	1139
278	440	1138
279	442	1136
280	443	1135
281	444	1132
282	446	1131
283	448	1129
284	449	1128
285	451	1127
286	453	1126
287	454	1124
288	456	1122
289	457	1120
290	459	1119
291	460	1117
292	462	1115
293	463	1114
294	465	1112
295	466	1110
296	468	1108
297	469	1107
298	471	1105
299	473	1103
300	474	1101
301	475	1099
302	477	1098
303	479	1097
304	480	1095
305	482	1094
306	484	1092
307	485	1091
308	487	1089
309	488	1088
310	490	1086
311	491	1084
312	493	1083
313	494	1081
314	496	1079
315	498	1078
316	499	1076
317	501	1075
318	502	1073
319	504	1071
320	505	1069
321	507	1067
322	508	1066
323	510	1064
324	511	1062
325	513	1061
326	514	1059
327	516	1058
328	517	1056
329	519	1054
330	521	1053
331	522	1051
332	524	1050
333	525	1048
334	527	1046
335	528	1045
336	530	1043
337	532	1042
338	533	1040
339	535	1038
340	536	1037
341	538	1035
342	539	1034
343	541	1032
344	542	1030
345	544	1029
346	545	1027
347	547	1025
348	549	1024
349	550	1022
350	551	1020
351	553	1018
352	554	1016
353	556	1014
354	557	1013
355	559	1011
356	560	1009
357	562	1008
358	563	1006
359	565	1005
360	566	1003
361	568	1001
362	569	999
363	571	998
364	573	996
365	574	995
366	576	993
367	577	992
368	579	991
369	581	990
370	583	988
371	584	987
372	586	985
373	588	984
374	589	983
375	591	981
376	593	980
377	594	978
378	596	977
379	598	975
380	599	973
381	600	972
382	602	970
383	603	968
384	605	967
385	606	965
386	608	963
387	609	962
388	611	960
389	613	958
390	614	957
391	616	955
392	617	953
393	618	951
394	619	949
395	621	948
396	623	946
397	624	944
398	626	943
399	627	941
400	629	939
401	630	938
402	632	936
403	633	934
404	635	932
405	636	931
406	638	929
407	639	928
408	641	926
409	642	924
410	644	923
411	645	921
412	647	919
413	648	918
414	650	916
415	651	914
416	653	913
417	654	911
418	655	909
419	657	907
420	658	906
421	660	904
422	661	902
423	663	901
424	664	899
425	666	897
426	667	896
427	669	894
428	670	893
429	672	891
430	673	889
431	675	888
432	676	886
